treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,fup_period,n_0,n_1,yearsatrisk_0,yearsatrisk_1,events_0,events_1,rate_0,rate_1,rr,rrE,rrCI,rrECI,q_0,q_1
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,All,3426960,3426960,171491.67145790556,198730.7871321013,32795,17089,0.1912337766679817,0.08599070253085908,0.44966273233287307,0.45,(0.44-0.46),0.45 (0.44-0.46),"32,795 /171,492","17,089 /198,731"
pfizer,covidemergency,none,none,,BNT162b2,COVID-19 A&E attendance, ,Main analysis,,All,3426960,3426960,173448.8706365503,199469.4893908282,673,176,0.003880105978955743,8.823404548610261e-4,0.2274011224555499,0.23,(0.19-0.27),0.23 (0.19-0.27),"673 /173,449","176 /199,469"
pfizer,covidadmittedproxy1,none,none,,BNT162b2,COVID-19 hospitalisation (A&E proxy), ,Main analysis,,All,3426960,3426960,173474.06981519508,199475.1923340178,258,55,0.001487253975622131,2.757235090562211e-4,0.18539100488259483,0.19,(0.14-0.25),0.19 (0.14-0.25),"258 /173,474","55 /199,475"
pfizer,covidadmitted,none,none,,BNT162b2,COVID-19 hospitalisation, ,Main analysis,,All,3426960,3426960,173359.33196440793,199456.68446269678,1929,454,0.011127177165149894,0.0022761834291139486,0.20456072509053883,0.2,(0.18-0.23),0.20 (0.18-0.23),"1,929 /173,359","454 /199,457"
pfizer,coviddeath,none,none,,BNT162b2,COVID-19 death, ,Main analysis,,All,3426960,3426960,173489.4483230664,199477.45106091717,400,54,0.0023056157239899283,2.7070728903343203e-4,0.11741214557860752,0.12,(0.09-0.16),0.12 (0.09-0.16),"400 /173,489","54 /199,477"
pfizer,noncoviddeath,none,none,,BNT162b2,Non-COVID-19 death, ,Main analysis,,All,3426960,3426960,173489.4483230664,199477.45106091717,5983,1200,0.034486247191579354,0.006015717534076268,0.17443816083140382,0.17,(0.16-0.19),0.17 (0.16-0.19),"5,983 /173,489","1,200 /199,477"
moderna,postest,none,none,,mRNA-1273,Positive SARS-CoV-2 test, ,Main analysis,,All,582720,582720,22104.82135523614,33323.93429158111,5376,3498,0.24320486076792225,0.10496959840914485,0.4316097880515303,0.43,(0.41-0.45),0.43 (0.41-0.45),"5,376 / 22,105","3,498 / 33,324"
moderna,covidemergency,none,none,,mRNA-1273,COVID-19 A&E attendance, ,Main analysis,,All,582720,582720,22273.694729637235,33437.897330595486,60,24,0.002693760542572418,7.177484804955166e-4,0.266448509120302,0.27,(0.16-0.43),0.27 (0.16-0.43),"60 / 22,274","24 / 33,438"
moderna,covidadmittedproxy1,none,none,,mRNA-1273,COVID-19 hospitalisation (A&E proxy), ,Main analysis,,All,582720,582720,22274.724161533195,33438.45859000684,29,8,0.0013019240907180731,2.3924547773236229e-4,0.18376300080629665,0.18,(0.07-0.41),0.18 (0.07-0.41),"29 / 22,275","8 / 33,438"
moderna,covidadmitted,none,none,,mRNA-1273,COVID-19 hospitalisation, ,Main analysis,,All,582720,582720,22271.19780971937,33437.029431895964,121,46,0.0054330261458678435,0.0013757202951802912,0.25321437045294043,0.25,(0.18-0.36),0.25 (0.18-0.36),"121 / 22,271","46 / 33,437"
moderna,coviddeath,none,none,,mRNA-1273,COVID-19 death, ,Main analysis,,All,582720,582720,22275.446954141,33438.8090349076,14,NA,NA,NA,NA,NA,NA,NA,"14 / 22,275","-- / 33,439"
moderna,noncoviddeath,none,none,,mRNA-1273,Non-COVID-19 death, ,Main analysis,,All,582720,582720,22275.446954141,33438.8090349076,413,87,0.018540593185414105,0.00260176730305133,0.14032815870735688,0.14,(0.11-0.18),0.14 (0.11-0.18),"413 / 22,275","87 / 33,439"
