treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_descr,period_id,term_left,term_right,term_midpoint,hr,hr.ll,hr.ul,ve,ve.ll,ve.ul
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.1814164416381411,0.016555823235960866,0.01655429215332563,-10.958876402437776,6.024265067834114e-28,-0.21386225804821335,-0.14897062522806886,NA,Unadjusted,1,0,7,3.5,0.8340879374134563,0.807459598424206,0.8615944236669292,0.16591206258654367,0.13840557633307082,0.192540401575794
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.6860007826785535,0.01791224138480612,0.017951828858413392,-38.21342037566546,1.6858e-319,-0.7211857206976705,-0.6508158446594364,NA,Unadjusted,2,7,14,10.5,0.5035859971602574,0.4861754457709117,0.5216200421923155,0.4964140028397426,0.4783799578076845,0.5138245542290882
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.4547701675495468,0.021166478815959074,0.02116874594935605,-68.72254837532313,0,-1.496260147208163,-1.4132801878909307,NA,Unadjusted,3,14,28,21,0.2334540130436442,0.22396619645272248,0.24334375932345967,0.7665459869563558,0.7566562406765404,0.7760338035472776
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-1.3285929687719245,0.030709225989847783,0.030697509787033943,-43.28015457895863,0,-1.3887589823695767,-1.2684269551742722,NA,Unadjusted,4,28,42,35,0.2648496509861114,0.24938460335890936,0.2812737301448929,0.7351503490138886,0.7187262698551071,0.7506153966410907
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-1.0409466133439456,0.03607206767640104,0.03609676408793098,-28.83767117762193,7.233765671105321e-183,-1.111694970914729,-0.9701982557731621,NA,Unadjusted,5,42,70,56,0.353120255351675,0.3290008413534457,0.37900789015209074,0.646879744648325,0.6209921098479092,0.6709991586465542
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,1,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.187669703424625,0.016557884065474114,0.016553851612300885,-11.336920725154432,8.612169375650658e-30,-0.22011465639015504,-0.15522475045909495,NA,region- and trial-stratified,1,0,7,3.5,0.8288884410369655,0.8024267893288622,0.8562227194076288,0.17111155896303454,0.14377728059237116,0.19757321067113776
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,1,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.704470872763118,0.017930449645653292,0.018004491608835712,-39.12750707259063,0,-0.7397590278763897,-0.6691827176498464,NA,region- and trial-stratified,2,7,14,10.5,0.4943700897421393,0.47722890052799577,0.5121269591201413,0.5056299102578607,0.4878730408798587,0.5227710994720043
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,1,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.509919948676585,0.021254993196456056,0.021256865347625487,-71.03210769716108,0,-1.5515826391821486,-1.4682572581710216,NA,region- and trial-stratified,3,14,28,21,0.22092766280330753,0.2119123275405742,0.23032653530921482,0.7790723371966924,0.7696734646907852,0.7880876724594258
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,1,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-1.393492782390949,0.030983655335028153,0.031046062729169033,-44.88468616929342,0,-1.4543419472018917,-1.3326436175800065,NA,region- and trial-stratified,4,28,42,35,0.2482068563269916,0.23355400420986921,0.2637790079264441,0.7517931436730084,0.7362209920735558,0.7664459957901308
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,1,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-1.0799931170362074,0.03631003454361608,0.03635307539368268,-29.70843884157006,5.974416937594044e-194,-1.1512438355350947,-1.00874239853732,NA,region- and trial-stratified,5,42,70,56,0.33959786307669054,0.31624317015068104,0.36467731003108994,0.6604021369233095,0.6353226899689101,0.683756829849319
