treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,model,model_descr,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,hr,hr.ll,hr.ul,ve,ve.ll,ve.ul
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unadjusted,-0.5813510479364866,0.00651190379980809,0.0065118365896614525,-89.27604984121858,0,-0.5941140131254332,-0.56858808274754,0.5591424278023511,0.5520514596064281,0.5663244777789317,0.4408575721976489,0.4336755222210683,0.4479485403935719
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,3,Full adjustment,-0.6723162705613085,0.006532153051907799,0.006524165854718473,-103.05015009314472,0,-0.6851034006657227,-0.6595291404568943,0.5105246938988505,0.5040381090042004,0.5170947561791265,0.48947530610114953,0.4829052438208735,0.49596189099579957
pfizer,postest,age65plus-TRUE,age65plus,TRUE,BNT162b2,Positive SARS-CoV-2 test,Aged 65 and over,Age,Aged 65 and over,0,Unadjusted,-0.7254756212168206,0.015587880557744224,0.015586945601987348,-46.543796311467325,0,-0.7560254732257008,-0.6949257692079405,0.4840942686867282,0.46952887847536834,0.4991114960517432,0.5159057313132718,0.5008885039482568,0.5304711215246316
pfizer,postest,age65plus-TRUE,age65plus,TRUE,BNT162b2,Positive SARS-CoV-2 test,Aged 65 and over,Age,Aged 65 and over,3,Full adjustment,-0.7594373718253448,0.015613584669567724,0.015601073673816555,-48.67853249740859,0,-0.7900149143461812,-0.7288598293045083,0.4679296233519812,0.4538380265344423,0.4824587619559244,0.5320703766480188,0.5175412380440756,0.5461619734655577
pfizer,covidemergency,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 A&E attendance,Aged 18-64,Age,Aged 18-64,0,Unadjusted,-1.1961269783985706,0.10692537301520329,0.1069253344344082,-11.186562891999346,4.7447129923701074e-29,-1.4056967829249112,-0.9865571738722301,0.30236300552159145,0.2451961484274659,0.37285816965063323,0.6976369944784085,0.6271418303493668,0.7548038515725342
pfizer,covidemergency,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 A&E attendance,Aged 18-64,Age,Aged 18-64,3,Full adjustment,-1.231175719325011,0.10720462397906656,0.10718015630018941,-11.48697447199781,1.5339043305639018e-30,-1.441244965530756,-1.021106473119266,0.29194912558991626,0.2366329753249173,0.36019617221852845,0.7080508744100837,0.6398038277814715,0.7633670246750827
pfizer,covidemergency,age65plus-TRUE,age65plus,TRUE,BNT162b2,COVID-19 A&E attendance,Aged 65 and over,Age,Aged 65 and over,0,Unadjusted,-1.4455176137837553,0.09815073533912068,0.09814769398554732,-14.727983461298788,4.262357007332057e-49,-1.6378835591610865,-1.2531516684064241,0.2356240827127431,0.1943910243305068,0.28560325017799065,0.7643759172872568,0.7143967498220094,0.8056089756694932
pfizer,covidemergency,age65plus-TRUE,age65plus,TRUE,BNT162b2,COVID-19 A&E attendance,Aged 65 and over,Age,Aged 65 and over,3,Full adjustment,-1.4310703811719403,0.0982915928733167,0.09822162229560531,-14.569810065496853,4.37104587868399e-48,-1.6235812233744231,-1.2385595389694575,0.23905290752022074,0.19719124716446165,0.2898013649977577,0.7609470924797792,0.7101986350022422,0.8028087528355383
pfizer,covidadmittedproxy1,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 hospitalisation (A&E proxy),Aged 18-64,Age,Aged 18-64,0,Unadjusted,-10.02949626130977,0.2953931592135595,0.19818643584547546,-50.60637080697943,0,-10.41793453779126,-9.641057984828281,4.408035845163539e-5,2.989155563196877e-5,6.500424484922282e-5,0.9999559196415484,0.9999349957551508,0.9999701084443681
pfizer,covidadmittedproxy1,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 hospitalisation (A&E proxy),Aged 18-64,Age,Aged 18-64,3,Full adjustment,-10.522923985126866,0.29602642187665806,0.1998821991069086,-52.645628435869845,0,-10.914685896527072,-10.13116207372666,2.69123845495768e-5,1.818913906779604e-5,3.981917117928e-5,0.9999730876154505,0.9999601808288208,0.9999818108609322
