treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,period,model,model_descr,term_left,term_right,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,term_midpoint,hr,hr.ll,hr.ul,ve,ve.ll,ve.ul
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,1,0,Unadjusted,0,28,-0.5796049236999575,0.007392172133290506,0.0073921684123233284,-78.40797062113876,0,-0.5940933075557658,-0.5651165398441492,14,0.5601196128421669,0.5520628902647237,0.5682939140140685,0.43988038715783306,0.4317060859859315,0.44793710973527634
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,1,3,Full adjustment,0,28,-0.66112452334842,0.007414793847314868,0.007408250504581983,-89.24165333495624,0,-0.6756444275258513,-0.6466046191709887,14,0.5162704497688314,0.5088284118954186,0.5238213336233539,0.4837295502311686,0.4761786663766461,0.4911715881045814
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,2,0,Unadjusted,28,70,-0.5874002182371431,0.013759461660737753,0.013758851649856461,-42.69253228290103,0,-0.6143670719394912,-0.5604333645347949,49,0.5557702896361711,0.5409831904152783,0.5709615757287497,0.44422971036382886,0.4290384242712503,0.4590168095847217
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,2,3,Full adjustment,28,70,-0.7109910266619877,0.013804601072926153,0.013771476486503844,-51.62779948531768,0,-0.7379826245894754,-0.6839994287344999,49,0.4911572063035379,0.47807740493538436,0.504594860191104,0.5088427936964621,0.495405139808896,0.5219225950646156
pfizer,postest,age65plus-TRUE,age65plus,TRUE,BNT162b2,Positive SARS-CoV-2 test,Aged 65 and over,Age,Aged 65 and over,1,0,Unadjusted,0,28,-0.6917789343101887,0.01763411044418393,0.017634681557656816,-39.22832017399399,0,-0.7263422750420288,-0.6572155935783486,14,0.5006845913628589,0.4836749082834065,0.518292464080658,0.4993154086371411,0.481707535919342,0.5163250917165936
pfizer,postest,age65plus-TRUE,age65plus,TRUE,BNT162b2,Positive SARS-CoV-2 test,Aged 65 and over,Age,Aged 65 and over,1,3,Full adjustment,0,28,-0.7218720845702871,0.017655203900523185,0.017654037762611357,-40.88991392660921,0,-0.7564733627667154,-0.6872708063738587,14,0.4858418670004853,0.46931862848939454,0.502946836971444,0.5141581329995146,0.49705316302855596,0.5306813715106055
pfizer,postest,age65plus-TRUE,age65plus,TRUE,BNT162b2,Positive SARS-CoV-2 test,Aged 65 and over,Age,Aged 65 and over,2,0,Unadjusted,28,70,-0.8458168346300726,0.03333884776475334,0.03332584833049084,-25.380204165911927,4.171994219723681e-142,-0.9111342971120789,-0.7804993721480663,49,0.42920662415031474,0.40206790082075067,0.45817715325809477,0.5707933758496853,0.5418228467419053,0.5979320991792494
pfizer,postest,age65plus-TRUE,age65plus,TRUE,BNT162b2,Positive SARS-CoV-2 test,Aged 65 and over,Age,Aged 65 and over,2,3,Full adjustment,28,70,-0.8933606062567638,0.03344794903914964,0.03333332670626368,-26.80082351603064,3.1606027794113636e-158,-0.9586927260859478,-0.8280284864275799,49,0.409278016770991,0.3833937591747263,0.43690981139746715,0.5907219832290089,0.5630901886025328,0.6166062408252737
pfizer,covidemergency,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 A&E attendance,Aged 18-64,Age,Aged 18-64,1,0,Unadjusted,0,28,-1.136125547841506,0.12149352488378111,0.12149541968912854,-9.351180075335522,8.667519983357621e-21,-1.3742521947187765,-0.8979989009642355,14,0.32106054888123,0.25302874130297853,0.40738406047117015,0.6789394511187701,0.5926159395288298,0.7469712586970214
pfizer,covidemergency,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 A&E attendance,Aged 18-64,Age,Aged 18-64,1,3,Full adjustment,0,28,-1.1702504191784449,0.1218177798583209,0.12188177547903992,-9.601520937637584,7.877332172694237e-22,-1.4091343094891602,-0.9313665288677295,14,0.31028922916174356,0.24435472718628967,0.3940149095637839,0.6897107708382564,0.6059850904362161,0.7556452728137103
pfizer,covidemergency,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 A&E attendance,Aged 18-64,Age,Aged 18-64,2,0,Unadjusted,28,70,-1.402249376028052,0.2251985865778602,0.22518616037463238,-6.2270673015392735,4.752470060754788e-10,-1.843606140179192,-0.9608926118769121,49,0.24604289802723558,0.1582457396158226,0.38255126372822545,0.7539571019727644,0.6174487362717745,0.8417542603841774
pfizer,covidemergency,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 A&E attendance,Aged 18-64,Age,Aged 18-64,2,3,Full adjustment,28,70,-1.4390057786611292,0.22574243494034701,0.22510965074030034,-6.392465955718844,1.6323157804518064e-10,-1.880212586684508,-0.9977989706377504,49,0.2371634344531013,0.1525576705799778,0.36869004637890995,0.7628365655468987,0.63130995362109,0.8474423294200222
pfizer,covidemergency,age65plus-TRUE,age65plus,TRUE,BNT162b2,COVID-19 A&E attendance,Aged 65 and over,Age,Aged 65 and over,1,0,Unadjusted,0,28,-1.3178740476868054,0.11296483830641342,0.11296639571393188,-11.666071483984464,1.899959311612144e-31,-1.5392841147494118,-1.096463980624199,14,0.2677038229891655,0.2145346286428723,0.3340502057703376,0.7322961770108345,0.6659497942296624,0.7854653713571277
pfizer,covidemergency,age65plus-TRUE,age65plus,TRUE,BNT162b2,COVID-19 A&E attendance,Aged 65 and over,Age,Aged 65 and over,1,3,Full adjustment,0,28,-1.3083849595450077,0.11309166280800478,0.11299907536194922,-11.578722705067259,5.282729349516384e-31,-1.5298590775407555,-1.0869108415492599,14,0.27025617877417074,0.2165661842049664,0.33725672562291736,0.7297438212258293,0.6627432743770827,0.7834338157950336
pfizer,covidemergency,age65plus-TRUE,age65plus,TRUE,BNT162b2,COVID-19 A&E attendance,Aged 65 and over,Age,Aged 65 and over,2,0,Unadjusted,28,70,-1.8385530910932602,0.19826179205336006,0.1982283129269933,-9.274926794995183,1.777410540071894e-20,-2.227073445146303,-1.4500327370402177,49,0.15904738678125482,0.10784357891007668,0.23456260908253718,0.8409526132187451,0.7654373909174628,0.8921564210899233
pfizer,covidemergency,age65plus-TRUE,age65plus,TRUE,BNT162b2,COVID-19 A&E attendance,Aged 65 and over,Age,Aged 65 and over,2,3,Full adjustment,28,70,-1.810272804648046,0.19873748414483353,0.19866161515015174,-9.112343133220838,8.062160046716925e-20,-2.1996424154529004,-1.420903193843192,49,0.16360949728272345,0.1108427869443961,0.2414958008456932,0.8363905027172766,0.7585041991543068,0.8891572130556039
pfizer,covidadmittedproxy1,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 hospitalisation (A&E proxy),Aged 18-64,Age,Aged 18-64,1,0,Unadjusted,0,28,-1.2003672164959114,0.30756139244330105,0.3075636851775773,-3.902824924869977,9.507647602026208e-5,-1.8031809623963784,-0.5975534705954443,14,0.3010836287343411,0.16477391407815864,0.550155963697258,0.698916371265659,0.44984403630274195,0.8352260859218413
pfizer,covidadmittedproxy1,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 hospitalisation (A&E proxy),Aged 18-64,Age,Aged 18-64,1,3,Full adjustment,0,28,-1.2444904247952007,0.30822203681428256,0.3086235137714401,-4.032390175289247,5.5212419352361964e-5,-1.8493813965694246,-0.6395994530209769,14,0.2880876730687119,0.157334463855317,0.5275036717350489,0.7119123269312881,0.47249632826495114,0.842665536144683
pfizer,covidadmittedproxy1,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 hospitalisation (A&E proxy),Aged 18-64,Age,Aged 18-64,2,0,Unadjusted,28,70,-16.29856059480381,1.060660023269843,0.2591656784588242,-62.88857649564619,0,-16.80651599061199,-15.790605198995626,49,8.348819479345064e-8,5.023690150207788e-8,1.3874818035067049e-7,0.9999999165118052,0.9999998612518196,0.9999999497630985
pfizer,covidadmittedproxy1,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 hospitalisation (A&E proxy),Aged 18-64,Age,Aged 18-64,2,3,Full adjustment,28,70,-17.22690050292071,1.062880732564581,0.2623360183030154,-65.66730948482456,0,-17.74106965064226,-16.71273135519916,49,3.2995306828211104e-8,1.9731102272289384e-8,5.5176353437525135e-8,0.9999999670046932,0.9999999448236465,0.9999999802688977
pfizer,covidadmittedproxy1,age65plus-TRUE,age65plus,TRUE,BNT162b2,COVID-19 hospitalisation (A&E proxy),Aged 65 and over,Age,Aged 65 and over,1,0,Unadjusted,0,28,-1.6905453727948867,0.2325135546990588,0.23252041831424258,-7.2705243911533755,3.580946426876531e-13,-2.1462770183609896,-1.2348137272287838,14,0.18441891950044825,0.11691863442658242,0.29088894201094334,0.8155810804995518,0.7091110579890567,0.8830813655734175
pfizer,covidadmittedproxy1,age65plus-TRUE,age65plus,TRUE,BNT162b2,COVID-19 hospitalisation (A&E proxy),Aged 65 and over,Age,Aged 65 and over,1,3,Full adjustment,0,28,-1.6821368739730151,0.2327198804754849,0.23333801010932734,-7.209013538706673,5.635865879239233e-13,-2.1394709700115397,-1.2248027779344905,14,0.18597614355109185,0.11771710242912002,0.2938156415374051,0.8140238564489082,0.7061843584625949,0.88228289757088
pfizer,covidadmittedproxy1,age65plus-TRUE,age65plus,TRUE,BNT162b2,COVID-19 hospitalisation (A&E proxy),Aged 65 and over,Age,Aged 65 and over,2,0,Unadjusted,28,70,-1.6363669485112458,0.31887574570092736,0.3189999515634771,-5.129677733463946,2.9023862468155746e-7,-2.2615953646456823,-1.0111385323768092,49,0.19468606350146248,0.10418414040585555,0.3638045404419846,0.8053139364985376,0.6361954595580154,0.8958158595941444
