treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,treated,treated_descr,time,interval,surv,surv.ll,surv.ul,n.risk,n.event,n.censor
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,0,1,1,1,1,NA,NA,NA
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,1,1,0.9989726762163186,0.9989322900233484,0.9990130624092889,2377056,2448,87624
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,2,1,0.9978494352243328,0.997791380071938,0.9979100145137881,2286984,2568,90450
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,3,1,0.9967716286994385,0.9966959045876191,0.9968423045371364,2193966,2376,92604
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,4,1,0.9956610083927558,0.9955726635956333,0.9957468290528176,2098986,2334,92436
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,5,1,0.9944721398371932,0.9943711743547675,0.9945680570454977,2004216,2394,93204
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,6,1,0.9931848299362656,0.9930737679055973,0.9932958919669339,1908618,2472,93096
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,7,1,0.991854609705307,0.9917309269893356,0.9919757682842179,1813050,2424,99840
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,8,1,0.9904663343219537,0.9903325550577396,0.9906001135861678,1710786,2400,85020
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,9,1,0.9891058244462675,0.9889594244967502,0.9892497002587242,1623366,2226,76074
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,10,1,0.9877806524894303,0.9876241559916704,0.9879346248501294,1545066,2070,70518
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,11,1,0.9864075219284407,0.9862409288824384,0.9865741149744431,1472478,2046,66366
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,12,1,0.9849435224332682,0.9847643087019626,0.9851202120275132,1404066,2088,63228
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,13,1,0.983292736795608,0.9831009023789993,0.9834820470751563,1338750,2244,61032
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,14,1,0.9814273995077933,0.9812229444058813,0.9816318546097054,1275474,2418,61488
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,15,1,0.9795166277528871,0.9792970278286112,0.9797337035401023,1211568,2358,53214
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,16,1,0.9775553732567679,0.9773231526471888,0.9777850697292864,1155996,2316,101556
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,17,1,0.975748091121348,0.975500725689405,0.9759904082791696,1052124,1944,84822
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,18,1,0.9740190572348079,0.9737590711175618,0.9742739950779328,965358,1710,71694
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unboosted,19,1,0.9722622578406008,0.9719896510380515,0.9725323405060895,891954,1608,56742
