treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,fup_period,n_0,n_1,yearsatrisk_0,yearsatrisk_1,events_0,events_1,rate_0,rate_1,rr,rrE,rrCI,rrECI,q_0,q_1
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0-6,2377056,2363586,40199.58110882957,40037.593429158114,17016,12720,0.42328799282593893,0.31757653023021276,0.7502611357105138,0.75,(0.73-0.77),0.75 (0.73-0.77),"17,016 / 40,200","12,720 / 40,038"
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,7-13,1710792,1707906,28391.55920602327,28449.675564681726,15492,8706,0.5455494672766689,0.3059437349368372,0.560799255224424,0.56,(0.55-0.58),0.56 (0.55-0.58),"15,492 / 28,392","8,706 / 28,450"
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,14-27,1211574,1223598,30305.43189596167,30902.72142368241,19554,7560,0.6452308637979073,0.24454156953984854,0.37899856200375653,0.38,(0.37-0.39),0.38 (0.37-0.39),"19,554 / 30,305","7,560 / 30,903"
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,28-41,458970,475260,12351.805612594113,12877.541409993155,7836,4008,0.6339963763690855,0.3108512620967862,0.49030447756979284,0.49,(0.47-0.51),0.49 (0.47-0.51),"7,836 / 12,352","4,008 / 12,878"
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,42-69,202158,212364,7953.889117043122,8405.325119780971,6582,4392,0.8268910847533938,0.5224069191168208,0.6317723443258791,0.63,(0.61-0.66),0.63 (0.61-0.66),"6,582 /  7,954","4,392 /  8,405"
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,All,2377056,2363586,119202.26694045175,120672.85694729637,66468,37374,0.5575984560193307,0.30968024579314696,0.5553821795059114,0.56,(0.55-0.56),0.56 (0.55-0.56),"66,468 /119,202","37,374 /120,673"
pfizer,postest,age65plus-TRUE,age65plus,TRUE,BNT162b2,Positive SARS-CoV-2 test,Aged 65 and over,Age,Aged 65 and over,0-6,1975362,1988832,33208.43258042436,33451.39767282683,4062,2646,0.12225810387670269,0.07898025744216194,0.6460124518356144,0.65,(0.61-0.68),0.65 (0.61-0.68),"4,062 / 33,208","2,646 / 33,451"
pfizer,postest,age65plus-TRUE,age65plus,TRUE,BNT162b2,Positive SARS-CoV-2 test,Aged 65 and over,Age,Aged 65 and over,7-13,1400388,1411908,22700.438056125942,22914.565366187544,2982,1650,0.13127499974370835,0.07187568141398368,0.5475199508993218,0.55,(0.52-0.58),0.55 (0.52-0.58),"2,982 / 22,700","1,650 / 22,915"
pfizer,postest,age65plus-TRUE,age65plus,TRUE,BNT162b2,Positive SARS-CoV-2 test,Aged 65 and over,Age,Aged 65 and over,14-27,917922,929478,24229.475701574265,24712.309377138947,3246,672,0.13384524039821843,0.027071529001610983,0.20225993035738402,0.2,(0.19-0.22),0.20 (0.19-0.22),"3,246 / 24,229","672 / 24,712"
pfizer,postest,age65plus-TRUE,age65plus,TRUE,BNT162b2,Positive SARS-CoV-2 test,Aged 65 and over,Age,Aged 65 and over,28-41,385458,399174,10625.199178644763,11137.399041752224,1488,462,0.13966796998804903,0.04121249479158345,0.2950747748042008,0.3,(0.27-0.33),0.30 (0.27-0.33),"1,488 / 10,625","462 / 11,137"
