treatment,treatment_descr,var_label,variable_levels,diff,sd,smd,variable,variable_card,level,cardn
pfizer,BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,0.700290144625634,0,Primary vaccine course,1,Primary vaccine course: BNT162b2-BNT162b2,1
pfizer,BNT162b2,Primary vaccine course,ChAdOx1-ChAdOx1,0,0.700290144625634,0,Primary vaccine course,1,Primary vaccine course: ChAdOx1-ChAdOx1,2
pfizer,BNT162b2,Age,18-39,0.004237574993580316,0.3252906065559914,0.013027043843797296,Age,0,Age: 18-39,3
pfizer,BNT162b2,Age,40-49,0.006113289912925743,0.3553649768278447,0.017202848652942252,Age,0,Age: 40-49,4
pfizer,BNT162b2,Age,50-59,0.0012188645329971881,0.5478375579631054,0.0022248648623672375,Age,0,Age: 50-59,5
pfizer,BNT162b2,Age,60-69,-0.0019606298293531332,0.6301525361924303,-0.003111357515435618,Age,0,Age: 60-69,6
pfizer,BNT162b2,Age,70-79,-0.00825367089198592,0.6476340596718697,-0.012744343458662018,Age,0,Age: 70-79,7
pfizer,BNT162b2,Age,80-89,-0.003757265914980032,0.43245411168481684,-0.008688241858406515,Age,0,Age: 80-89,8
pfizer,BNT162b2,Age,90+,0.002401837196815835,0.17425182632994904,0.013783713189139906,Age,0,Age: 90+,9
pfizer,BNT162b2,Sex,Female,0.001322163083315897,0.7044129547482124,0.0018769715610759815,Sex,1,Sex: Female,10
pfizer,BNT162b2,Sex,Male,-0.0013221630833158415,0.7044129547482124,-0.0018769715610759028,Sex,1,Sex: Male,11
pfizer,BNT162b2,Ethnicity,White,-0.006862350304643106,0.3464222426529469,-0.01980920812731402,Ethnicity,0,Ethnicity: White,12
pfizer,BNT162b2,Ethnicity,Black,0.0019903938184279955,0.1411090726893069,0.014105356803034435,Ethnicity,0,Ethnicity: Black,13
pfizer,BNT162b2,Ethnicity,South Asian,0.005269101477694514,0.27608177182577176,0.019085292892932138,Ethnicity,0,Ethnicity: South Asian,14
pfizer,BNT162b2,Ethnicity,Mixed,3.183579615752734e-4,0.10395582757361108,0.003062434968831779,Ethnicity,0,Ethnicity: Mixed,15
pfizer,BNT162b2,Ethnicity,Other,-7.155029530546021e-4,0.13314834411797188,-0.0053737277605244065,Ethnicity,0,Ethnicity: Other,16
pfizer,BNT162b2,IMD,1 most deprived,0.025961201764829495,0.5045754788397182,0.051451572368375526,IMD,1,IMD: 1 most deprived,17
pfizer,BNT162b2,IMD,2,0.016033744193104077,0.5422285770013862,0.02957008330651501,IMD,1,IMD: 2,18
pfizer,BNT162b2,IMD,3,0.0034905572285640896,0.5901994074607139,0.005914199818637458,IMD,1,IMD: 3,19
