variable,var_type,var_class,var_label,row_type,label,stat_1
N,dichotomous,numeric,Total N,label,Total N,"10,912,312"
vax12_type,categorical,factor,Primary vaccination course (doses 1 and 2),label,Primary vaccination course (doses 1 and 2),NA
vax12_type,categorical,factor,Primary vaccination course (doses 1 and 2),level,BNT162b2,"3,909,369 (36%)"
vax12_type,categorical,factor,Primary vaccination course (doses 1 and 2),level,ChAdOx1-S,"7,002,943 (64%)"
vax12_type,categorical,factor,Primary vaccination course (doses 1 and 2),level,mRNA-1273,0 (0%)
ageband,categorical,factor,Age,label,Age,NA
ageband,categorical,factor,Age,level,18-30,"614,072 (5.6%)"
ageband,categorical,factor,Age,level,30s,"1,228,104 (11%)"
ageband,categorical,factor,Age,level,40s,"1,828,118 (17%)"
ageband,categorical,factor,Age,level,50s,"2,433,244 (22%)"
ageband,categorical,factor,Age,level,60-64,"1,112,787 (10%)"
ageband,categorical,factor,Age,level,65+,"3,695,987 (34%)"
sex,categorical,factor,Sex,label,Sex,NA
sex,categorical,factor,Sex,level,Female,"5,719,113 (52%)"
sex,categorical,factor,Sex,level,Male,"5,193,199 (48%)"
ethnicity_combined,categorical,factor,Ethnicity,label,Ethnicity,NA
ethnicity_combined,categorical,factor,Ethnicity,level,White,"9,843,851 (90%)"
ethnicity_combined,categorical,factor,Ethnicity,level,Black,"163,307 (1.5%)"
ethnicity_combined,categorical,factor,Ethnicity,level,South Asian,"635,632 (5.8%)"
ethnicity_combined,categorical,factor,Ethnicity,level,Mixed,"94,265 (0.9%)"
ethnicity_combined,categorical,factor,Ethnicity,level,Other,"175,257 (1.6%)"
imd_Q5,categorical,factor,IMD,label,IMD,NA
imd_Q5,categorical,factor,IMD,level,1 most deprived,"1,781,573 (16%)"
imd_Q5,categorical,factor,IMD,level,2,"2,038,568 (19%)"
imd_Q5,categorical,factor,IMD,level,3,"2,404,228 (22%)"
imd_Q5,categorical,factor,IMD,level,4,"2,393,384 (22%)"
imd_Q5,categorical,factor,IMD,level,5 least deprived,"2,294,559 (21%)"
region,categorical,factor,Region,label,Region,NA
region,categorical,factor,Region,level,North East and Yorkshire,"2,061,027 (19%)"
region,categorical,factor,Region,level,Midlands,"2,334,413 (21%)"
region,categorical,factor,Region,level,North West,"1,002,655 (9.2%)"
region,categorical,factor,Region,level,East of England,"2,565,443 (24%)"
region,categorical,factor,Region,level,London,"594,566 (5.4%)"
region,categorical,factor,Region,level,South East,"740,226 (6.8%)"
region,categorical,factor,Region,level,South West,"1,613,982 (15%)"
rural_urban_group,categorical,factor,Rural/urban category,label,Rural/urban category,NA
rural_urban_group,categorical,factor,Rural/urban category,level,Urban conurbation,"2,650,299 (24%)"
rural_urban_group,categorical,factor,Rural/urban category,level,Urban city or town,"5,635,078 (52%)"
rural_urban_group,categorical,factor,Rural/urban category,level,Rural town or village,"2,626,935 (24%)"
cev,dichotomous,logical,Clinically extremely vulnerable,label,Clinically extremely vulnerable,"1,058,740 (9.7%)"
sev_obesity,dichotomous,logical,Body Mass Index > 40 kg/m^2,label,Body Mass Index > 40 kg/m^2,"466,889 (4.3%)"
chronic_heart_disease,dichotomous,logical,Chronic heart disease,label,Chronic heart disease,"1,475,694 (14%)"
chronic_kidney_disease,dichotomous,logical,Chronic kidney disease,label,Chronic kidney disease,"648,248 (5.9%)"
diabetes,dichotomous,logical,Diabetes,label,Diabetes,"1,239,617 (11%)"
chronic_liver_disease,dichotomous,logical,Chronic liver disease,label,Chronic liver disease,"307,286 (2.8%)"
chronic_resp_disease,dichotomous,logical,Chronic respiratory disease,label,Chronic respiratory disease,"541,635 (5.0%)"
chronic_neuro_disease,dichotomous,logical,Chronic neurological disease,label,Chronic neurological disease,"667,240 (6.1%)"
immunosuppressed,dichotomous,logical,Immunosuppressed,label,Immunosuppressed,"301,449 (2.8%)"
asplenia,dichotomous,logical,Asplenia or poor spleen function,label,Asplenia or poor spleen function,"90,708 (0.8%)"
learndis,dichotomous,logical,Learning disabilities,label,Learning disabilities,"67,320 (0.6%)"
sev_mental,dichotomous,logical,Serious mental illness,label,Serious mental illness,"111,425 (1.0%)"
multimorb,categorical,factor,Morbidity count,label,Morbidity count,NA
multimorb,categorical,factor,Morbidity count,level,0,"7,197,310 (66%)"
multimorb,categorical,factor,Morbidity count,level,1,"2,500,135 (23%)"
multimorb,categorical,factor,Morbidity count,level,2+,"1,214,867 (11%)"
prior_covid_infection,dichotomous,logical,Prior SARS-CoV-2 infection,label,Prior SARS-CoV-2 infection,"875,585 (8.0%)"
prior_tests_cat,categorical,factor,Number of SARS-CoV-2 tests in previous 3 months,label,Number of SARS-CoV-2 tests in previous 3 months,NA
prior_tests_cat,categorical,factor,Number of SARS-CoV-2 tests in previous 3 months,level,0,"6,447,877 (59%)"
prior_tests_cat,categorical,factor,Number of SARS-CoV-2 tests in previous 3 months,level,1,"1,675,624 (15%)"
prior_tests_cat,categorical,factor,Number of SARS-CoV-2 tests in previous 3 months,level,2,"735,174 (6.7%)"
prior_tests_cat,categorical,factor,Number of SARS-CoV-2 tests in previous 3 months,level,3+,"2,053,637 (19%)"
