treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,treated_descr,time,leadtime,interval,surv,surv.ll,surv.ul,n.risk,n.event,n.censor
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,0,1,1,0.9999999999999999,0.9999999999999999,0.9999999999999999,1487178,NA,NA
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,1,2,1,0.9999999999999999,NA,NA,1442910,0,44268
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,2,3,1,0.9999999999999999,NA,NA,1398906,0,44004
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,3,4,1,0.9992495824289321,0.9992011683920891,0.9992939619627049,1351194,1056,46656
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,4,5,1,0.9984991648578644,0.99843057830567,0.9985596824039182,1303404,1014,46776
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,5,6,1,0.9976720917284617,0.9975914016670566,0.9977527817898668,1255560,1080,46764
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,6,7,1,0.9968611566113401,0.9967683630407241,0.9969579846850263,1206654,1020,47886
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,7,8,1,0.9960260144757969,0.9959170828928999,0.9961349460586939,1152102,1008,53544
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,8,9,1,0.9951828033341132,0.9950617682420055,0.99529980392315065,1103016,978,48108
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,9,10,1,0.9944041442415537,0.9942710056402352,0.9945332483398018,1056786,864,45366
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,10,11,1,0.9935851401182916,0.9934398980077623,0.9937263477257505,1010868,870,45048
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,11,12,1,0.9927338599704674,0.9925805488537975,0.9928831365840668,967188,864,42816
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,12,13,1,0.9919350283625565,0.9917696137366759,0.9920964084853667,925452,780,40956
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,13,14,1,0.991063575699381,0.99089009206736,0.991237059331402,884766,810,39876
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,14,15,1,0.9901759850239245,0.9899903978826927,0.990357537662086,841920,798,42048
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,15,16,1,0.9893529463975921,0.9891552557471496,0.9895425680418942,782268,696,58956
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,16,17,1,0.9884734247282762,0.9882676650716931,0.988675149881789,729612,696,51960
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,17,18,1,0.9875616270343981,0.9873437638686042,0.9877754556971217,685338,672,43602
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,18,19,1,0.9866578983466605,0.9864319661747262,0.986883830518595,642384,630,42324
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,19,20,1,0.9857662731681338,0.9855282374869886,0.9860043088492789,587808,576,54000
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,20,21,1,0.9848464064681153,0.9845962672777593,0.9850925111554009,548334,552,38922
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,21,22,1,0.9840072298295018,0.9837449871299351,0.9842654380259982,508908,468,38958
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,22,23,1,0.9831398116693966,0.9828654654606191,0.9834101233751038,473838,450,34620
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,23,24,1,0.9823490490676262,0.982062599349638,0.9826314642825442,443826,378,29634
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,24,25,1,0.9815139069320831,0.9812153537048841,0.9818043911531416,417510,378,25938
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,Unboosted,25,26,1,0.9805456261952215,0.9802349694588116,0.980852248428561,392880,414,24216
