treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_descr,period_id,term_left,term_right,term_midpoint,hr,hr.ll,hr.ul,ve,ve.ll,ve.ul
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.14380401532078177,0.020335770537477857,0.020335661482954737,-7.07151893934297,1.5324688265590783e-12,-0.18366117942917143,-0.10394685121239211,NA,Unadjusted,1,0,7,3.5,0.8660574654222056,0.8322177285488676,0.9012731977260345,0.13394253457779437,0.09872680227396546,0.16778227145113245
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.7350995374231536,0.022101727022413965,0.022165251571665857,-33.164502331335655,3.4998544784408875e-241,-0.7785426322118885,-0.6916564426344187,NA,Unadjusted,2,7,14,10.5,0.4794577326124386,0.4590745645055964,0.5007459248138291,0.5205422673875614,0.49925407518617093,0.5409254354944035
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.3623119738805327,0.02449417592436031,0.024490831072273907,-55.625387715928,0,-1.4103131207336441,-1.3143108270274213,NA,Unadjusted,3,14,28,21,0.25606806936732396,0.24406684879671722,0.26865941225849344,0.743931930632676,0.7313405877415066,0.7559331512032827
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-1.1684253302216296,0.03592575830532223,0.03593174737633005,-32.51791008058036,5.953490720429347e-232,-1.238850260980828,-1.0980003994624312,NA,Unadjusted,4,28,42,35,0.3108560517007455,0.28971712560774343,0.33353735881602237,0.6891439482992545,0.6664626411839776,0.7102828743922566
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-0.8472177760715855,0.04072010537600484,0.040718017535604056,-20.806950518422802,3.7441659754806312e-96,-0.9270236239632399,-0.7674119281799312,NA,Unadjusted,5,42,70,56,0.4286057517953368,0.39572979995456203,0.46421293138181335,0.5713942482046632,0.5357870686181867,0.604270200045438
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,1,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.14578350543782218,0.020339468847571013,0.020340613070985888,-7.167114625751848,7.659489905169519e-13,-0.18565037448041916,-0.10591663639522518,NA,region- and trial-stratified,1,0,7,3.5,0.8643448088811985,0.8305639305703805,0.8994996304821694,0.13565519111880153,0.10050036951783059,0.16943606942961953
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,1,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.742805274452752,0.022127237796353456,0.022213799766833252,-33.438911048519124,3.73055798822577e-245,-0.7863435219555295,-0.6992670269499746,NA,region- and trial-stratified,2,7,14,10.5,0.475777355627944,0.4555073064273624,0.4969494208638261,0.524222644372056,0.5030505791361739,0.5444926935726375
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,1,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.39982231833229,0.024599781634613387,0.02459621035311471,-56.9121136238382,0,-1.448030004780566,-1.3516146318840139,NA,region- and trial-stratified,3,14,28,21,0.24664078359427105,0.2350328459087114,0.2588220207979932,0.753359216405729,0.7411779792020068,0.7649671540912886
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,1,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-1.2282684253139098,0.03614252978296377,0.036024823656053945,-34.09505725942673,8.731452888341669e-255,-1.298875782229182,-1.1576610683986375,NA,region- and trial-stratified,4,28,42,35,0.292799142560193,0.2728383504051893,0.3142202617654943,0.707200857439807,0.6857797382345057,0.7271616495948108
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,1,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-0.878295338050197,0.04082310095821541,0.04072191878309873,-21.56812263018229,3.5792799711423603e-103,-0.9581088322464356,-0.7984818438539584,NA,region- and trial-stratified,5,42,70,56,0.4154905793242393,0.3836176857971415,0.4500116337140948,0.5845094206757607,0.5499883662859052,0.6163823142028585
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,2,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.1637193036410781,0.02035846995627176,0.020368873747873592,-8.037719987251114,9.152548540555096e-16,-0.20364156259255373,-0.12379704468960247,NA,Demographic adjustment,1,0,7,3.5,0.8489802941149224,0.8157547157959829,0.8835591457073738,0.15101970588507763,0.11644085429262618,0.1842452842040171
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,2,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.766088212763173,0.022154906757035027,0.02226468742587787,-34.40821773553226,1.9000601998685132e-259,-0.8097261982449354,-0.7224502272814105,NA,Demographic adjustment,2,7,14,10.5,0.4648278240774267,0.44497988581867615,0.4855610622467527,0.5351721759225734,0.5144389377532472,0.5550201141813238
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,2,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.4342948457310851,0.02464880567179661,0.024663910521459696,-58.15358616725141,0,-1.4826352220710646,-1.3859544693911057,NA,Demographic adjustment,3,14,28,21,0.2382833312945784,0.22703860223239283,0.2500849873746309,0.7617166687054215,0.7499150126253691,0.7729613977676072
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,2,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-1.26863032988432,0.03619447894880995,0.03607842923309425,-35.163125359144594,7.3248394569662e-271,-1.3393427517999617,-1.1979179079686784,NA,Demographic adjustment,4,28,42,35,0.281216531998106,0.2620178227424977,0.3018219792886441,0.7187834680018941,0.6981780207113559,0.7379821772575024
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,2,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-0.9162610564454318,0.040864673375205565,0.04074473775534091,-22.48783786380675,5.459574085680083e-112,-0.9961192750054293,-0.8364028378854342,NA,Demographic adjustment,5,42,70,56,0.40001187034761726,0.3693098538377077,0.43326625259588863,0.5999881296523828,0.5667337474041114,0.6306901461622922
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,3,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.19413408835921675,0.020376243330492358,0.020368736988936483,-9.530983117149725,1.5580069614494416e-21,-0.23405607926810107,-0.15421209745033243,NA,Full adjustment,1,0,7,3.5,0.8235474687358627,0.7913174381484928,0.8570902150825281,0.1764525312641373,0.14290978491747186,0.20868256185150724
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,3,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.8016684999156545,0.022176166343640905,0.0222815061725268,-35.97909825791379,1.775931469796107e-283,-0.8453394495351139,-0.7579975502961951,NA,Full adjustment,2,7,14,10.5,0.44857988387243336,0.429411569910475,0.4686038437598632,0.5514201161275667,0.5313961562401368,0.570588430089525
