treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,model,model_descr,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,hr,hr.ll,hr.ul,ve,ve.ll,ve.ul
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,0,Unadjusted,-0.7376482566327394,0.011539378535350392,0.011548171787963349,-63.875760611873616,0,-0.760282257424429,-0.7150142558410497,0.47823728542840155,0.46753444331629446,0.4891851380010518,0.5217627145715984,0.5108148619989482,0.5324655566837055
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,1,region- and trial-stratified,-0.7560334654356808,0.011564183187381347,0.011570128112578654,-65.34356906677176,0,-0.7787104998328493,-0.7333564310385123,0.46952512591697554,0.45899750721850185,0.4802942072676803,0.5304748740830245,0.5197057927323196,0.5410024927814981
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,2,Demographic adjustment,-0.7826336487491806,0.011579361807100437,0.011591858264091209,-67.51580556963775,0,-0.8053532734606924,-0.7599140240376688,0.4572003192684954,0.4469300101557866,0.4677066368095347,0.5427996807315045,0.5322933631904653,0.5530699898442134
pfizer,postest,age65plus-FALSE,age65plus,FALSE,BNT162b2,Positive SARS-CoV-2 test,Aged 18-64,Age,Aged 18-64,3,Full adjustment,-0.8207895023656642,0.01159095879557505,0.011594656409776758,-70.79032559115458,0,-0.843514611341943,-0.7980643933893853,0.44008406990034216,0.43019589195659824,0.4501995304957228,0.5599159300996579,0.5498004695042772,0.5698041080434018
pfizer,postest,age65plus-TRUE,age65plus,TRUE,BNT162b2,Positive SARS-CoV-2 test,Aged 65 and over,Age,Aged 65 and over,0,Unadjusted,-0.7716422338781549,0.017407166577562597,0.01741561515560079,-44.30749226965996,0,-0.8057762123517423,-0.7375082554045674,0.4622533165801847,0.4467410260400976,0.4783042439227455,0.5377466834198152,0.5216957560772545,0.5532589739599024
pfizer,postest,age65plus-TRUE,age65plus,TRUE,BNT162b2,Positive SARS-CoV-2 test,Aged 65 and over,Age,Aged 65 and over,1,region- and trial-stratified,-0.7781335382858862,0.017457511406838745,0.017460088905741394,-44.566413291859746,0,-0.8123546837080067,-0.7439123928637656,0.45926240754162057,0.4438117984802569,0.47525090523322017,0.5407375924583795,0.5247490947667799,0.556188201519743
pfizer,postest,age65plus-TRUE,age65plus,TRUE,BNT162b2,Positive SARS-CoV-2 test,Aged 65 and over,Age,Aged 65 and over,2,Demographic adjustment,-0.7890777363085001,0.01747271629827018,0.017480694773638773,-45.1399527608276,0,-0.8233392684895696,-0.7548162041274306,0.4542635529314267,0.4389633877930344,0.4700970086807718,0.5457364470685733,0.5299029913192281,0.5610366122069657
pfizer,postest,age65plus-TRUE,age65plus,TRUE,BNT162b2,Positive SARS-CoV-2 test,Aged 65 and over,Age,Aged 65 and over,3,Full adjustment,-0.8077773874824576,0.017484721772415432,0.01749187653621758,-46.18014458368286,0,-0.8420608355154653,-0.77349393944945,0.4458479129448278,0.4308217551671496,0.46139815153980845,0.5541520870551722,0.5386018484601915,0.5691782448328504
pfizer,covidemergency,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 A&E attendance,Aged 18-64,Age,Aged 18-64,0,Unadjusted,-1.2058235809747129,0.13948817971332875,0.13975061055515997,-8.628395798662867,6.221844673090706e-18,-1.4797297444803095,-0.9319174174691163,0.29944528049466396,0.22769921703944296,0.3937979110178294,0.7005547195053361,0.6062020889821707,0.772300782960557
pfizer,covidemergency,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 A&E attendance,Aged 18-64,Age,Aged 18-64,1,region- and trial-stratified,-1.200350059088599,0.13977503292020033,0.14142831153548788,-8.487339246692493,2.114219005036461e-17,-1.4775444560924658,-0.9231556620847321,0.30108879459311066,0.22819734957775079,0.3972634318377341,0.6989112054068893,0.6027365681622658,0.7718026504222493
pfizer,covidemergency,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 A&E attendance,Aged 18-64,Age,Aged 18-64,2,Demographic adjustment,-1.1785895288832429,0.13996667398153978,0.14190689733406156,-8.305371698098208,9.950744484409978e-17,-1.4567219368158266,-0.9004571209506593,0.3077124521850597,0.2329988090469858,0.40638385070306676,0.6922875478149403,0.5936161492969332,0.7670011909530142
pfizer,covidemergency,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 A&E attendance,Aged 18-64,Age,Aged 18-64,3,Full adjustment,-1.2348715812152962,0.14019492362857694,0.14165080427887478,-8.717716694245837,2.838681695895985e-18,-1.512502055983023,-0.9572411064475694,0.2908721134128211,0.22035793973058507,0.3839507052238875,0.7091278865871788,0.6160492947761125,0.779642060269415
pfizer,covidemergency,age65plus-TRUE,age65plus,TRUE,BNT162b2,COVID-19 A&E attendance,Aged 65 and over,Age,Aged 65 and over,0,Unadjusted,-1.5750239953668583,0.10982533725719527,0.10990373755639801,-14.330941152557452,1.4020754775504773e-46,-1.7904313627437405,-1.3596166279899762,0.20700258551857828,0.16688816480138247,0.2567591923751645,0.7929974144814217,0.7432408076248356,0.8331118351986175
pfizer,covidemergency,age65plus-TRUE,age65plus,TRUE,BNT162b2,COVID-19 A&E attendance,Aged 65 and over,Age,Aged 65 and over,1,region- and trial-stratified,-1.5746900924384608,0.11007242137300327,0.11000058266494102,-14.315288649287675,1.756333920525731e-46,-1.7902872727401662,-1.3590929121367554,0.20707171582883302,0.16691221345018856,0.25689369645255605,0.792928284171167,0.7431063035474439,0.8330877865498114
pfizer,covidemergency,age65plus-TRUE,age65plus,TRUE,BNT162b2,COVID-19 A&E attendance,Aged 65 and over,Age,Aged 65 and over,2,Demographic adjustment,-1.5445256160796925,0.11013363546756769,0.11001717647154867,-14.038949785982913,9.003701082633397e-45,-1.7601553196447153,-1.3288959125146698,0.2134130869502927,0.17201814395104068,0.26476942859362634,0.7865869130497073,0.7352305714063736,0.8279818560489594
pfizer,covidemergency,age65plus-TRUE,age65plus,TRUE,BNT162b2,COVID-19 A&E attendance,Aged 65 and over,Age,Aged 65 and over,3,Full adjustment,-1.5560893281745165,0.1101643214880142,0.10995056112742585,-14.152627437445325,1.799077605396235e-45,-1.7715884680642409,-1.3405901882847922,0.21095945335326408,0.17006263509335534,0.2616911759286673,0.789040546646736,0.7383088240713327,0.8299373649066446
pfizer,covidadmittedproxy1,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 hospitalisation (A&E proxy),Aged 18-64,Age,Aged 18-64,0,Unadjusted,-1.4077077643330427,0.30005326197233834,0.30067582119059144,-4.681812321186709,2.8434975750989713e-6,-1.997021544888607,-0.8183939837774784,0.2447035589917359,0.13573897419198025,0.4411395631923067,0.7552964410082641,0.5588604368076933,0.8642610258080198
pfizer,covidadmittedproxy1,age65plus-FALSE,age65plus,FALSE,BNT162b2,COVID-19 hospitalisation (A&E proxy),Aged 18-64,Age,Aged 18-64,1,region- and trial-stratified,-1.448186212916504,0.3005420406847424,0.3021831409529877,-4.7924123375956516,1.6478778227255523e-6,-2.0404542859195507,-0.8559181399134576,0.2349961347333346,0.12996965408128788,0.4248929008079755,0.7650038652666654,0.5751070991920245,0.8700303459187121
