treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,fup_period,n_0,n_1,yearsatrisk_0,yearsatrisk_1,events_0,events_1,rate_0,rate_1,rr,rrE,rrCI,rrECI,q_0,q_1
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0-6,3860412,3860412,64908.56673511294,64981.76865160849,19560,14190,0.3013315650585667,0.2183535519950607,0.7246288716969349,0.72,(0.71-0.74),0.72 (0.71-0.74),"19,560 / 64,909","14,190 / 64,982"
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,7-13,2733768,2741562,44677.897330595486,44924.64887063655,17112,9534,0.38298579437135605,0.21219976649012648,0.554066938274923,0.55,(0.54-0.57),0.55 (0.54-0.57),"17,112 / 44,678","9,534 / 44,925"
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,14-27,1849260,1870674,46413.396303901434,47362.899383983575,20772,7554,0.44743547453463045,0.1594708115051367,0.3564107465350158,0.36,(0.35-0.37),0.36 (0.35-0.37),"20,772 / 46,413","7,554 / 47,363"
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,28-41,696636,722118,18662.313483915128,19510.74880219028,7962,3876,0.4265280404201038,0.19865972543118796,0.4657600593750422,0.47,(0.45-0.48),0.47 (0.45-0.48),"7,962 / 18,662","3,876 / 19,511"
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,42-69,306450,323748,12135.353867214237,12930.217659137577,6708,4380,0.552353072958945,0.3386640592941164,0.6131296735254852,0.61,(0.59-0.64),0.61 (0.59-0.64),"6,708 / 12,135","4,380 / 12,930"
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,All,3860412,3860412,186797.52772073922,189710.28336755646,72102,39534,0.3859794124673262,0.2083703597838823,0.5398483780570064,0.54,(0.53-0.55),0.54 (0.53-0.55),"72,102 /186,798","39,534 /189,710"
pfizer,postest,cev-TRUE,cev,TRUE,BNT162b2,Positive SARS-CoV-2 test,Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,0-6,492012,492012,8499.446954141,8507.222450376454,1518,1170,0.17848220104025772,0.13729510504904158,0.7692369561157185,0.77,(0.71-0.83),0.77 (0.71-0.83),"1,518 /  8,499","1,170 /  8,507"
pfizer,postest,cev-TRUE,cev,TRUE,BNT162b2,Positive SARS-CoV-2 test,Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,7-13,377412,378252,6414.09993155373,6439.592060232717,1362,822,0.2117210543165084,0.127026680005323,0.5999718847773489,0.6,(0.55-0.65),0.60 (0.55-0.65),"1,362 /  6,414","822 /  6,440"
pfizer,postest,cev-TRUE,cev,TRUE,BNT162b2,Positive SARS-CoV-2 test,Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,14-27,280236,282402,8121.511293634497,8252.131416837783,2034,678,0.24995347868211176,0.08155468763219159,0.3262794663318609,0.33,(0.30-0.36),0.33 (0.30-0.36),"2,034 /  8,122","678 /  8,252"
pfizer,postest,cev-TRUE,cev,TRUE,BNT162b2,Positive SARS-CoV-2 test,Clinically Extremely Vulnerable,Clinically extremely vulnerable,Clinically Extremely Vulnerable,28-41,147792,152316,4314.691307323751,4504.1916495550995,1356,588,0.31404332395692475,0.13010103601117462,0.41427734992710663,0.41,(0.38-0.46),0.41 (0.38-0.46),"1,356 /  4,315","588 /  4,504"
