treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_descr,period_id,term_left,term_right,term_midpoint,hr,hr.ll,hr.ul,ve,ve.ll,ve.ul
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.32233351039044944,0.011027443035538199,0.011025293795710656,-29.235820501749526,6.800830143711167e-188,-0.3439426891490152,-0.30072433163188367,NA,Unadjusted,1,0,7,3.5,0.7244565362528007,0.7089695585339377,0.7402818169015674,0.2755434637471993,0.25971818309843264,0.2910304414660623
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.590725084309693,0.012780489919716862,0.012782594623002816,-46.21323774491435,0,-0.6157785093997538,-0.5656716592196321,NA,Unadjusted,2,7,14,10.5,0.553925496400723,0.5402201650828946,0.5679785305972519,0.44607450359927703,0.4320214694027481,0.4597798349171054
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.031657625722373,0.013436986986115835,0.013437514437270395,-76.77443849741731,0,-1.05799467006116,-1.0053205813835862,NA,Unadjusted,3,14,28,21,0.35641566685546894,0.34715126561459336,0.36592730651617283,0.643584333144531,0.6340726934838272,0.6528487343854066
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-0.7647922988419169,0.019586443920894606,0.019587160198272852,-39.045593700170706,0,-0.8031824273899482,-0.7264021702938857,NA,Unadjusted,4,28,42,35,0.4654305914085667,0.4479012802697545,0.4836459393205183,0.5345694085914333,0.5163540606794816,0.5520987197302455
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-0.4911559114675419,0.019430798339054742,0.01942689346534027,-25.282267200559804,5.0054519583302234e-141,-0.5292319229911053,-0.45307989994397846,NA,Unadjusted,5,42,70,56,0.6119186614270665,0.58905723728882875,0.63566734181231,0.3880813385729335,0.36433265818769,0.41094276271117125
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,3,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.37811730377607505,0.011047652944731826,0.011035011554963225,-34.26523859016794,2.586507299669327e-257,-0.3997455289927863,-0.3564890785593638,NA,Full adjustment,1,0,7,3.5,0.6851501252549221,0.6704906447582033,0.7001301178573859,0.31484987474507786,0.2998698821426141,0.3295093552417967
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,3,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.6721118954527696,0.012815269680379852,0.01282221556949361,-52.41776601009941,0,-0.6972429761709859,-0.6469808147345534,NA,Full adjustment,2,7,14,10.5,0.5106290431014044,0.49795629035999384,0.5236243114233067,0.48937095689859555,0.4763756885766933,0.5020437096400061
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,3,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.1427398427252073,0.013491617648441655,0.013464068571682468,-84.87329343587938,0,-1.1691289322110827,-1.116350753239332,NA,Full adjustment,3,14,28,21,0.31894396729927427,0.3106374096918315,0.32747264528608216,0.6810560327007258,0.6725273547139179,0.6893625903081685
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,3,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-0.8904094190153132,0.0196405568522997,0.0195754194120137,-45.48609663345741,0,-0.9287765360451263,-0.8520423019855001,NA,Full adjustment,4,28,42,35,0.4104876568915899,0.3950367280315998,0.4265429123513522,0.5895123431084102,0.5734570876486478,0.6049632719684002
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,3,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-0.5991252896099287,0.019480234950820213,0.019426579384277456,-30.840493210802705,7.51277702283997e-209,-0.6372006855459208,-0.5610498936739367,NA,Full adjustment,5,42,70,56,0.5492918973484431,0.5287705492505924,0.570609669771268,0.4507081026515569,0.42939033022873196,0.4712294507494076
