treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,treated,treated_descr,time,interval,surv,surv.ll,surv.ul,n.risk,n.event,n.censor
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,Unboosted,0,1,1,1,1,NA,NA,NA
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,Unboosted,1,1,0.9992617356827236,0.9992353135913684,0.9992881577740788,3860412,2856,151422
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,Unboosted,2,1,0.9984597474980611,0.9984193372406944,0.9984986035147599,3706134,2970,154860
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,Unboosted,3,1,0.9976764102014141,0.9976266745000397,0.9977261459027885,3548304,2784,157452
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,Unboosted,4,1,0.9968884101827632,0.996830903278049,0.9969443628468094,3388068,2682,156564
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,Unboosted,5,1,0.996047565981402,0.9959822878733481,0.9961128440894559,3228822,2718,157578
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,Unboosted,6,1,0.9951305639873113,0.9950559604352496,0.9952036132987049,3068526,2832,158118
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,Unboosted,7,1,0.994198019586541,0.9941171990718075,0.9942788401012744,2907576,2718,171090
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,Unboosted,8,1,0.9932172937250642,0.993127147766323,0.9933058854431374,2733768,2700,146994
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,Unboosted,9,1,0.9922692069176144,0.9921712897555336,0.9923655698390274,2584074,2466,135012
pfizer,postest,cev-FALSE,cev,FALSE,BNT162b2,Positive SARS-CoV-2 test,Not Clinically Extremely Vulnerable,Clinically extremely vulnerable,Not Clinically Extremely Vulnerable,0,Unboosted,10,1,0.9913335540355083,0.9912294199107555,0.9914376881602609,2446596,2304,127188
