treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,fup_period,n_0,n_1,yearsatrisk_0,yearsatrisk_1,events_0,events_1,rate_0,rate_1,rr,rrE,rrCI,rrECI,q_0,q_1
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0-6,4352418,4352418,73408.01368925393,73488.99110198494,21078,15360,0.28710761864797985,0.20897007524144942,0.7278458029971884,0.73,(0.71-0.74),0.73 (0.71-0.74),"21,078 / 73,408","15,360 / 73,489"
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,7-13,3111174,3119814,51091.99726214921,51364.240930869266,18474,10356,0.36148518338864194,0.20152152182938576,0.5574821074000281,0.56,(0.54-0.57),0.56 (0.54-0.57),"18,474 / 51,092","10,356 / 51,364"
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,14-27,2129496,2153070,54534.90759753594,55615.030800821354,22800,8226,0.4180258297720127,0.14790965466620787,0.3538289840770758,0.35,(0.34-0.36),0.35 (0.34-0.36),"22,800 / 54,535","8,226 / 55,615"
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,28-41,844428,874434,22977.004791238876,24014.94045174538,9318,4464,0.40540532086896747,0.18580100204561226,0.4583092339472912,0.46,(0.44-0.48),0.46 (0.44-0.48),"9,318 / 22,977","4,464 / 24,015"
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,42-69,384960,407256,15347.414099931553,16440.394250513345,8052,5268,0.5244531715630125,0.3203694461180905,0.6108637786731326,0.61,(0.59-0.63),0.61 (0.59-0.63),"8,052 / 15,347","5,268 / 16,440"
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,All,4352418,4352418,217359.33744010952,220923.5975359343,79710,43668,0.36670152264317574,0.19763846183474357,0.5389627520774124,0.54,(0.53-0.55),0.54 (0.53-0.55),"79,710 /217,359","43,668 /220,924"
pfizer,covidemergency,none,none,,BNT162b2,COVID-19 A&E attendance, ,Main analysis,,0-6,4352418,4352418,73581.04585900069,73581.1471594798,186,66,0.002473463075650713,8.561975782118995e-4,0.3461533695976654,0.35,(0.26-0.46),0.35 (0.26-0.46),"186 / 73,581","66 / 73,581"
pfizer,covidemergency,none,none,,BNT162b2,COVID-19 A&E attendance, ,Main analysis,,7-13,3131958,3132522,51639.737166324434,51664.06844626968,204,78,0.003872986404942917,0.0014323300937277047,0.36982574787757755,0.37,(0.28-0.49),0.37 (0.28-0.49),"204 / 51,640","78 / 51,664"
pfizer,covidemergency,none,none,,BNT162b2,COVID-19 A&E attendance, ,Main analysis,,14-27,2168322,2170560,55922.78986995209,56060.279260780284,300,54,0.005364539228061531,9.632488584083517e-4,0.1795585450041383,0.18,(0.13-0.24),0.18 (0.13-0.24),"300 / 55,923","54 / 56,060"
pfizer,covidemergency,none,none,,BNT162b2,COVID-19 A&E attendance, ,Main analysis,,28-41,876936,881820,24023.534565366186,24239.04722792608,168,24,0.006951516628229949,8.25114940036e-4,0.11869567234943051,0.12,(0.07-0.19),0.12 (0.07-0.19),"168 / 24,024","24 / 24,239"
