treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_descr,hr,hr.ll,hr.ul,ve,ve.ll,ve.ul
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-0.621239332396952,0.005954256591268549,0.005957333631647705,-104.28144045797329,0,-0.6329154917588706,-0.6095631730350333,NA,Unadjusted,0.5372781585812674,0.5310412953417505,0.5435882712336069,0.4627218414187326,0.45641172876639313,0.4689587046582495
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,3,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-0.7066537084685274,0.0060288355776135965,0.006032411980827259,-117.14281297671249,0,-0.7184770186908567,-0.6948303982461981,NA,Full adjustment,0.4932921379823748,0.4874941353387985,0.4991590990650749,0.5067078620176252,0.5008409009349251,0.5125058646612015
pfizer,covidemergency,none,none,,BNT162b2,COVID-19 A&E attendance, ,Main analysis,,0,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.3902608092780875,0.07129832151075817,0.07130662155786344,-19.49693841756235,1.1655366056437684e-84,-1.5300192193907272,-1.2505023991654478,NA,Unadjusted,0.24901035195177673,0.2165315056724028,0.2863608932409067,0.7509896480482232,0.7136391067590933,0.7834684943275971
pfizer,covidemergency,none,none,,BNT162b2,COVID-19 A&E attendance, ,Main analysis,,3,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.4019639473689784,0.07184014003615986,0.07202564270407483,-19.464789132519087,2.1839150169877674e-84,-1.5431316130323152,-1.2607962817056417,NA,Full adjustment,0.24611313574514607,0.21371079289714057,0.28342824789135457,0.753886864254854,0.7165717521086454,0.7862892071028594
pfizer,covidadmittedproxy1,none,none,,BNT162b2,COVID-19 hospitalisation (A&E proxy), ,Main analysis,,0,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.6522961599462531,0.15603064179927578,0.15603993690049392,-10.58893122342081,3.353993233569464e-26,-1.9581288164211237,-1.3464635034713826,NA,Unadjusted,0.19160943720283782,0.14112223963486514,0.26015868597452296,0.8083905627971621,0.739841314025477,0.8588777603651349
pfizer,covidadmittedproxy1,none,none,,BNT162b2,COVID-19 hospitalisation (A&E proxy), ,Main analysis,,3,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.6689262965518141,0.1569098264263279,0.1570845586282108,-10.624381614120612,2.2952830946039716e-26,-1.9768063739904778,-1.3610462191131505,NA,Full adjustment,0.18844929571036836,0.13851088366956119,0.25639239396129954,0.8115507042896316,0.7436076060387005,0.8614891163304388
pfizer,covidadmitted,none,none,,BNT162b2,COVID-19 hospitalisation, ,Main analysis,,0,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.6089147095947185,0.04416848300547907,0.044177270377382484,-36.419513832580236,2.0907742964985671e-290,-1.6955005684696765,-1.5223288507197605,NA,Unadjusted,0.20010466794677217,0.18350734804089072,0.21820313225367668,0.7998953320532278,0.7817968677463233,0.8164926519591093
pfizer,covidadmitted,none,none,,BNT162b2,COVID-19 hospitalisation, ,Main analysis,,3,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.616397718427316,0.04445042566212777,0.044478396317377975,-36.341187008934035,3.620660364894018e-289,-1.7035737732994758,-1.529221663555156,NA,Full adjustment,0.19861287147331733,0.18203181976753025,0.2167042705239867,0.8013871285266827,0.7832957294760133,0.8179681802324698
pfizer,noncovidadmitted,none,none,,BNT162b2,Non-COVID-19 hospitalisation, ,Main analysis,,0,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-0.5341007903973055,0.008536861337440242,0.008506549755799413,-62.78700598126493,0,-0.5507733215513704,-0.5174282592432407,NA,Unadjusted,0.5861961664451079,0.5765038151291566,0.5960514684156195,0.41380383355489214,0.4039485315843805,0.4234961848708434
pfizer,noncovidadmitted,none,none,,BNT162b2,Non-COVID-19 hospitalisation, ,Main analysis,,3,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-0.5527112445581972,0.008607327504451243,0.00860916985207104,-64.20029504066943,0,-0.5695849074050444,-0.53583758171135,NA,Full adjustment,0.5753876769665155,0.5657602328486854,0.5851789496372561,0.4246123230334845,0.41482105036274386,0.4342397671513146
